Label,Value
34Q,0.16589437
31R,0.16128682
37Q,0.15803811
40R,0.15793462
36R,0.15273798
32R,0.14554794
38P,0.1434465
12R,0.1374992
55J,0.13482507
19J,0.13460828
32Q,0.13012528
29Q,0.12662019
33Q,0.1262299
41R,0.1257075
30S,0.122239225
19K,0.11941865
30R,0.11764373
40Q,0.116765894
30Q,0.115517095
54K,0.11507574
39R,0.11336932
51J,0.111960225
35P,0.11179288
13R,0.10988899
28Q,0.10833172
33R,0.10766109
14Q,0.10754234
42R,0.10742861
35Q,0.10569916
31Q,0.10553005
33K,0.10539457
43Q,0.10491141
39P,0.10383602
33J,0.103094175
36P,0.10096339
54J,0.10034979
49S,0.099686496
34J,0.09937032
42S,0.09684839
12S,0.09677314
40S,0.09671086
29R,0.0967033
11S,0.093673825
36L,0.093538694
44T,0.0933151
34K,0.09248357
39S,0.09227423
36Q,0.087139934
35R,0.08686573
38K,0.08680894
44Q,0.086132035
37R,0.085809976
43S,0.085293345
20J,0.08493046
56J,0.08491209
48T,0.08464278
54H,0.08421344
55K,0.083388425
51K,0.083191186
18Q,0.08310868
29S,0.08305652
31P,0.08295877
30P,0.08245998
41S,0.08241896
36K,0.08205396
32S,0.08160107
51S,0.08139617
50J,0.08019798
54U,0.07852765
34P,0.07832636
16T,0.07716941
45T,0.076710895
33P,0.07643698
35K,0.07642235
50K,0.07572593
39T,0.07544971
34R,0.07505074
23L,0.07503043
37P,0.07432709
43T,0.073620066
33T,0.07352065
38S,0.07325099
46Q,0.07319909
29P,0.073178865
55H,0.07265945
13Q,0.0724247
36M,0.07195313
35J,0.07195059
46T,0.07183876
14R,0.07166661
19H,0.07110255
37N,0.07093738
20K,0.07085248
38Q,0.07078196
17T,0.07071345
15S,0.070141785
21H,0.06992623
13S,0.06983345
47T,0.06955907
52S,0.06856289
36T,0.0684431
36J,0.068391725
49T,0.068006456
31T,0.06793931
46U,0.067455396
52L,0.0668772
36N,0.066795714
16P,0.06643122
32T,0.066415384
40T,0.06612613
53U,0.06601543
28R,0.06595014
33U,0.06551494
09V,0.06524079
31S,0.064994514
36S,0.064565144
38R,0.06409211
34L,0.064011626
32P,0.06371961
35T,0.06364256
33S,0.063306466
22L,0.063231595
21L,0.06314313
47Q,0.063125946
50S,0.062895074
23M,0.06287754
11U,0.062824704
17S,0.06279932
24L,0.06263887
47P,0.06260204
23K,0.062420413
30U,0.06230849
12T,0.062134612
21J,0.06201515
17Q,0.06197806
46R,0.06178742
22J,0.061611854
34S,0.061553683
53L,0.06097703
42T,0.060913105
38T,0.060631134
37L,0.06057769
11T,0.060489766
21K,0.06044299
53J,0.060146388
17R,0.060062498
53K,0.06004432
11R,0.059942406
45R,0.05977091
44P,0.05971291
51T,0.059512995
51P,0.059460636
50R,0.059249364
20H,0.059245158
45Q,0.059158392
41T,0.058859807
50T,0.058735035
14S,0.058691032
37M,0.058519382
45U,0.058358718
12V,0.058259606
30T,0.058165725
48U,0.058047254
28P,0.057899803
24M,0.05788014
44R,0.057775404
48M,0.05732441
37T,0.057282005
37S,0.057007637
34U,0.05696138
47U,0.056911897
42V,0.056403067
19P,0.056134045
05V,0.056044877
10T,0.05582935
22K,0.05566053
16S,0.055615168
10U,0.055365007
51L,0.055250995
35V,0.055249706
49M,0.055171493
24K,0.054983504
35L,0.054971363
38N,0.05492576
14V,0.054543145
54T,0.054285277
14U,0.054072484
54L,0.054064374
34V,0.05401513
35U,0.05381563
15R,0.053488683
35S,0.05347378
08V,0.05341087
16Q,0.053022224
32U,0.052951243
57V,0.052931067
34T,0.05289104
18U,0.052717283
49U,0.052570134
44V,0.052560017
44S,0.052559126
15V,0.05216749
54V,0.052131727
48P,0.052116897
11V,0.05202874
44U,0.052007563
52J,0.05199899
45V,0.051995732
34H,0.05193978
43V,0.05153693
17U,0.05143002
31U,0.05093149
36U,0.050839085
58V,0.050689556
41V,0.050637636
39Q,0.05062064
43P,0.050416633
20G,0.049973287
12U,0.049800213
53H,0.049773883
16R,0.04962941
49R,0.04922765
13U,0.04909333
51H,0.049047846
21N,0.048886623
38V,0.048758227
47R,0.048752762
46S,0.04873793
52T,0.04866609
39V,0.04848407
15T,0.048419897
13T,0.048286602
19V,0.04812467
52M,0.048054136
