Label,Value
09V,0.21449937608506944
54U,0.20220011393229168
37Q,0.20049748173466436
49S,0.1961011646412037
53U,0.19243885181568288
40R,0.1902424678096065
16T,0.1899898952907986
33U,0.1863577609592014
44T,0.18608787254050926
08V,0.18547620985243055
55J,0.18266493055555555
38P,0.18179863823784723
43S,0.18113328721788194
11U,0.17994971381293404
17T,0.17948253490306712
30U,0.17882727728949652
30S,0.17803610342520254
51P,0.17507462112991898
36R,0.1746429556387442
46U,0.17422446922019677
05V,0.1710829332139757
19J,0.1699016316731771
44V,0.1695902732566551
31R,0.1675479352032697
45V,0.16747861508969908
47U,0.16726437038845487
14Q,0.16723918773509838
34U,0.16629004584418403
47N,0.16593206334997107
48M,0.16582845052083334
12R,0.16508541531032986
34Q,0.16422901294849537
57V,0.16386084662543401
42S,0.16286249231409144
35U,0.1618998661747685
35V,0.16088634349681713
19K,0.15988440619574654
36L,0.15929210521556714
42V,0.15919186062282986
45U,0.15846377902560763
21L,0.15811222782841436
51S,0.15794744420934606
54T,0.1578389259620949
10U,0.1569914980287905
46R,0.15628389711733218
43V,0.15619370071976274
50R,0.15581504539207175
46V,0.15555398446542246
18U,0.15418140552662038
38V,0.15410383436414932
58V,0.15357782434534142
12S,0.1534273726851852
43Q,0.15316045690465857
54K,0.15291130913628473
32U,0.1527021280924479
48P,0.15165014196325233
19V,0.15164435492621528
39V,0.15134183530454282
49R,0.15118864836516205
48U,0.15042634186921297
44Q,0.1499590951425058
37V,0.14940297444661457
32R,0.14850399441189235
40V,0.14840798837167246
04V,0.14812636763961226
41R,0.147842938458478
49U,0.14730519612630208
36U,0.14719295925564235
33M,0.14709291811342592
13R,0.14583614773220485
33T,0.14579942491319445
47P,0.14494980423538772
34V,0.14455888536241318
39R,0.14416509557653356
32T,0.1440488009982639
20J,0.14377700240523728
52S,0.14371194344979746
18V,0.1432961584020544
38T,0.1430059701425058
54H,0.14286642569082755
41V,0.14284462257667824
21U,0.14283362494574653
53M,0.1426190863715278
35P,0.14242688214337385
23M,0.14241355613425927
29Q,0.14238884819878472
12T,0.14213906747323496
50V,0.14200107150607638
39T,0.1414126247829861
43T,0.1413742517541956
28Q,0.14136558250144676
36M,0.1412407656069155
11S,0.14080772117332177
45T,0.14072732430917245
36T,0.14067438196252893
07V,0.14052513970269098
23L,0.13996132179542825
39S,0.13922524911385994
14V,0.1391191948784722
31U,0.13910022876880787
36V,0.1390731359411169
18Q,0.1389927390769676
11T,0.13891459147135415
22L,0.13824135109230323
12V,0.13814919930917247
51J,0.13793244538483795
35T,0.1378396945529514
33K,0.1375967746310764
48T,0.13745716236255787
20K,0.13640444155092593
54V,0.13629837601273148
47V,0.1350017406322338
56J,0.13492661087601274
40Q,0.13476512767650464
32Q,0.13469622576678242
42R,0.13435812490957755
52M,0.13432345920138888
46Q,0.1340746166087963
15S,0.13337257667824073
51U,0.13321180555555556
17U,0.1331976318359375
38K,0.13297475179036458
06V,0.13297076189959492
44P,0.13290643762659143
55K,0.13280697292751736
31T,0.13140012387876157
55H,0.13126187924985533
36P,0.1310594007703993
37M,0.13025676586009838
21K,0.13025209780092592
31P,0.1300941749855324
52V,0.1300693314163773
37T,0.12970367431640625
40S,0.12954835114655672
17V,0.1289199376989294
39P,0.1286252396195023
15V,0.12849125614872686
22J,0.1284122043185764
36K,0.127872393572772
19F,0.12729987250434027
10V,0.12712118643301504
30P,0.12678687201605904
14U,0.12670075593171296
33Q,0.12641630949797453
50S,0.1262575841833044
19U,0.12606632939091436
50N,0.12591680456090856
30Q,0.12536462854456018
16P,0.1253351621274595
23K,0.12523059986255788
40T,0.12510431360315394
51V,0.12477857801649306
37L,0.12414033112702547
47Q,0.12396293357566551
51M,0.12394188774956597
17S,0.12380628797743055
34K,0.12372080485026042
11V,0.1236226060655382
36N,0.1234190990306713
53V,0.12335409658926505
46T,0.12321763780381945
30R,0.12321508336950232
49M,0.12283626980251736
29S,0.12282272904007523
48V,0.12269124348958334
