Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
-54.70964659108916,-35.58451419218454,-54.88032649507187,-35.41383428820183,-54.53896668710645,-35.75519409616725
-55.05100639905458,-36.26723380811538,-55.22168630303729,-36.09655390413267,-54.88032649507187,-36.43791371209809
-54.36828678312374,-34.21907496032287,-54.53896668710645,-34.04839505634016,-54.197606879141034,-34.38975486430558
-55.05100639905458,-36.608593616080796,-55.22168630303729,-36.43791371209809,-54.88032649507187,-36.77927352006351
-54.36828678312374,-34.56043476828829,-54.53896668710645,-34.38975486430558,-54.197606879141034,-34.731114672271
-54.36828678312374,-35.58451419218454,-54.53896668710645,-35.41383428820183,-54.197606879141034,-35.75519409616725
-55.05100639905458,-35.92587400014996,-55.22168630303729,-35.75519409616725,-54.88032649507187,-36.09655390413267
-54.70964659108916,-34.56043476828829,-54.88032649507187,-34.38975486430558,-54.53896668710645,-34.731114672271
-54.70964659108916,-34.21907496032287,-54.88032649507187,-34.04839505634016,-54.53896668710645,-34.38975486430558
-55.39236620702,-37.29131323201164,-55.563046111002706,-37.12063332802893,-55.22168630303729,-37.46199313599435
-55.05100639905458,-35.58451419218454,-55.22168630303729,-35.41383428820183,-54.88032649507187,-35.75519409616725
-54.36828678312374,-33.87771515235745,-54.53896668710645,-33.707035248374744,-54.197606879141034,-34.04839505634016
-55.05100639905458,-34.56043476828829,-55.22168630303729,-34.38975486430558,-54.88032649507187,-34.731114672271
-55.05100639905458,-33.87771515235745,-55.22168630303729,-33.707035248374744,-54.88032649507187,-34.04839505634016
-54.70964659108916,-34.90179457625371,-54.88032649507187,-34.731114672271,-54.53896668710645,-35.072474480236416
-55.39236620702,-36.94995342404622,-55.563046111002706,-36.77927352006351,-55.22168630303729,-37.12063332802893
-55.05100639905458,-34.90179457625371,-55.22168630303729,-34.731114672271,-54.88032649507187,-35.072474480236416
-55.05100639905458,-34.21907496032287,-55.22168630303729,-34.04839505634016,-54.88032649507187,-34.38975486430558
-55.39236620702,-35.243154384219125,-55.563046111002706,-35.072474480236416,-55.22168630303729,-35.41383428820183
-54.70964659108916,-33.87771515235745,-54.88032649507187,-33.707035248374744,-54.53896668710645,-34.04839505634016
-55.05100639905458,-35.243154384219125,-55.22168630303729,-35.072474480236416,-54.88032649507187,-35.41383428820183
-55.39236620702,-37.63267303997706,-55.563046111002706,-37.46199313599435,-55.22168630303729,-37.803352943959766
-57.440525054812504,-35.243154384219125,-57.61120495879521,-35.072474480236416,-57.269845150829795,-35.41383428820183
-54.36828678312374,-34.90179457625371,-54.53896668710645,-34.731114672271,-54.197606879141034,-35.072474480236416
-55.39236620702,-34.90179457625371,-55.563046111002706,-34.731114672271,-55.22168630303729,-35.072474480236416
-55.05100639905458,-33.536355344392035,-55.22168630303729,-33.365675440409326,-54.88032649507187,-33.707035248374744
-55.39236620702,-36.608593616080796,-55.563046111002706,-36.43791371209809,-55.22168630303729,-36.77927352006351
-57.78188486277792,-34.90179457625371,-57.95256476676063,-34.731114672271,-57.61120495879521,-35.072474480236416
-56.07508582295083,-34.90179457625371,-56.24576572693354,-34.731114672271,-55.90440591896812,-35.072474480236416
-55.05100639905458,-36.94995342404622,-55.22168630303729,-36.77927352006351,-54.88032649507187,-37.12063332802893
-54.36828678312374,-33.536355344392035,-54.53896668710645,-33.365675440409326,-54.197606879141034,-33.707035248374744
-55.733726014985415,-36.94995342404622,-55.90440591896812,-36.77927352006351,-55.563046111002706,-37.12063332802893
-54.70964659108916,-33.536355344392035,-54.88032649507187,-33.365675440409326,-54.53896668710645,-33.707035248374744
-57.440525054812504,-34.21907496032287,-57.61120495879521,-34.04839505634016,-57.269845150829795,-34.38975486430558
-57.78188486277792,-35.243154384219125,-57.95256476676063,-35.072474480236416,-57.61120495879521,-35.41383428820183
-54.70964659108916,-35.243154384219125,-54.88032649507187,-35.072474480236416,-54.53896668710645,-35.41383428820183
-56.41644563091625,-34.90179457625371,-56.58712553489896,-34.731114672271,-56.24576572693354,-35.072474480236416
-54.36828678312374,-35.243154384219125,-54.53896668710645,-35.072474480236416,-54.197606879141034,-35.41383428820183
-55.39236620702,-33.87771515235745,-55.563046111002706,-33.707035248374744,-55.22168630303729,-34.04839505634016
-55.733726014985415,-35.243154384219125,-55.90440591896812,-35.072474480236416,-55.563046111002706,-35.41383428820183
-58.12324467074334,-34.90179457625371,-58.29392457472605,-34.731114672271,-57.95256476676063,-35.072474480236416
-55.39236620702,-35.58451419218454,-55.563046111002706,-35.41383428820183,-55.22168630303729,-35.75519409616725
-55.05100639905458,-32.51227592049578,-55.22168630303729,-32.34159601651307,-54.88032649507187,-32.68295582447849
-55.733726014985415,-32.51227592049578,-55.90440591896812,-32.34159601651307,-55.563046111002706,-32.68295582447849
-56.75780543888167,-36.94995342404622,-56.92848534286438,-36.77927352006351,-56.58712553489896,-37.12063332802893
-57.440525054812504,-35.58451419218454,-57.61120495879521,-35.41383428820183,-57.269845150829795,-35.75519409616725
-58.46460447870876,-34.21907496032287,-58.63528438269147,-34.04839505634016,-58.29392457472605,-34.38975486430558
-55.733726014985415,-37.29131323201164,-55.90440591896812,-37.12063332802893,-55.563046111002706,-37.46199313599435
-55.39236620702,-34.56043476828829,-55.563046111002706,-34.38975486430558,-55.22168630303729,-34.731114672271
-57.099165246847086,-35.243154384219125,-57.269845150829795,-35.072474480236416,-56.92848534286438,-35.41383428820183
-57.78188486277792,-34.21907496032287,-57.95256476676063,-34.04839505634016,-57.61120495879521,-34.38975486430558
-56.41644563091625,-32.8536357284612,-56.58712553489896,-32.68295582447849,-56.24576572693354,-33.02431563244391
-54.70964659108916,-32.8536357284612,-54.88032649507187,-32.68295582447849,-54.53896668710645,-33.02431563244391
-57.099165246847086,-37.29131323201164,-57.269845150829795,-37.12063332802893,-56.92848534286438,-37.46199313599435
-57.440525054812504,-36.94995342404622,-57.61120495879521,-36.77927352006351,-57.269845150829795,-37.12063332802893
-58.46460447870876,-34.90179457625371,-58.63528438269147,-34.731114672271,-58.29392457472605,-35.072474480236416
-55.39236620702,-34.21907496032287,-55.563046111002706,-34.04839505634016,-55.22168630303729,-34.38975486430558
-55.39236620702,-32.51227592049578,-55.563046111002706,-32.34159601651307,-55.22168630303729,-32.68295582447849
-56.41644563091625,-35.58451419218454,-56.58712553489896,-35.41383428820183,-56.24576572693354,-35.75519409616725
-54.70964659108916,-33.19499553642662,-54.88032649507187,-33.02431563244391,-54.53896668710645,-33.365675440409326
-56.41644563091625,-35.243154384219125,-56.58712553489896,-35.072474480236416,-56.24576572693354,-35.41383428820183
-57.099165246847086,-32.51227592049578,-57.269845150829795,-32.34159601651307,-56.92848534286438,-32.68295582447849
-57.099165246847086,-32.8536357284612,-57.269845150829795,-32.68295582447849,-56.92848534286438,-33.02431563244391
-57.78188486277792,-34.56043476828829,-57.95256476676063,-34.38975486430558,-57.61120495879521,-34.731114672271
-56.07508582295083,-32.8536357284612,-56.24576572693354,-32.68295582447849,-55.90440591896812,-33.02431563244391
-57.099165246847086,-34.56043476828829,-57.269845150829795,-34.38975486430558,-56.92848534286438,-34.731114672271
-55.733726014985415,-32.8536357284612,-55.90440591896812,-32.68295582447849,-55.563046111002706,-33.02431563244391
-58.46460447870876,-36.94995342404622,-58.63528438269147,-36.77927352006351,-58.29392457472605,-37.12063332802893
-55.39236620702,-36.26723380811538,-55.563046111002706,-36.09655390413267,-55.22168630303729,-36.43791371209809
-57.440525054812504,-34.56043476828829,-57.61120495879521,-34.38975486430558,-57.269845150829795,-34.731114672271
-54.70964659108916,-35.92587400014996,-54.88032649507187,-35.75519409616725,-54.53896668710645,-36.09655390413267
-55.05100639905458,-33.19499553642662,-55.22168630303729,-33.02431563244391,-54.88032649507187,-33.365675440409326
-58.12324467074334,-34.21907496032287,-58.29392457472605,-34.04839505634016,-57.95256476676063,-34.38975486430558
-56.07508582295083,-32.51227592049578,-56.24576572693354,-32.34159601651307,-55.90440591896812,-32.68295582447849
-57.099165246847086,-34.21907496032287,-57.269845150829795,-34.04839505634016,-56.92848534286438,-34.38975486430558
-57.440525054812504,-36.608593616080796,-57.61120495879521,-36.43791371209809,-57.269845150829795,-36.77927352006351
-56.75780543888167,-34.90179457625371,-56.92848534286438,-34.731114672271,-56.58712553489896,-35.072474480236416
-56.75780543888167,-35.58451419218454,-56.92848534286438,-35.41383428820183,-56.58712553489896,-35.75519409616725
-56.41644563091625,-33.19499553642662,-56.58712553489896,-33.02431563244391,-56.24576572693354,-33.365675440409326
-57.440525054812504,-35.92587400014996,-57.61120495879521,-35.75519409616725,-57.269845150829795,-36.09655390413267
-57.099165246847086,-37.63267303997706,-57.269845150829795,-37.46199313599435,-56.92848534286438,-37.803352943959766
-55.733726014985415,-36.608593616080796,-55.90440591896812,-36.43791371209809,-55.563046111002706,-36.77927352006351
-56.75780543888167,-32.8536357284612,-56.92848534286438,-32.68295582447849,-56.58712553489896,-33.02431563244391
-57.099165246847086,-35.92587400014996,-57.269845150829795,-35.75519409616725,-56.92848534286438,-36.09655390413267
-56.07508582295083,-33.19499553642662,-56.24576572693354,-33.02431563244391,-55.90440591896812,-33.365675440409326
-56.07508582295083,-34.56043476828829,-56.24576572693354,-34.38975486430558,-55.90440591896812,-34.731114672271
-56.07508582295083,-36.94995342404622,-56.24576572693354,-36.77927352006351,-55.90440591896812,-37.12063332802893
-57.099165246847086,-36.94995342404622,-57.269845150829795,-36.77927352006351,-56.92848534286438,-37.12063332802893
-56.07508582295083,-35.243154384219125,-56.24576572693354,-35.072474480236416,-55.90440591896812,-35.41383428820183
